nume_actiune, timestamp
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"format tren",2025-06-05 13:12:24
"format tren",2025-06-05 13:12:24
"format tren",2025-06-05 13:12:24
"asignat tren la o ruta valida",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"ruta cautata in baza de date",2025-06-05 13:12:24
"calculat pretul unui bilet",2025-06-05 13:12:24
"calculat pret bilet",2025-06-05 13:12:24
"format tren",2025-06-05 13:12:44
"calculat nivel de experienta mecanic",2025-06-05 16:49:33
"calculat nivel de experienta mecanic",2025-06-05 16:49:33
"calculat nivel de experienta mecanic",2025-06-05 16:49:33
"calculat nivel de experienta mecanic",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"format tren",2025-06-05 16:49:33
"format tren",2025-06-05 16:49:33
"asignat tren la o ruta valida",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"locomotiva adaugata la orar",2025-06-05 16:49:33
"ruta cautata in baza de date",2025-06-05 16:49:33
"calculat pretul unui bilet",2025-06-05 16:49:33
"calculat pret bilet",2025-06-05 16:49:33
"format tren",2025-06-05 16:50:06
"calculat nivel de experienta mecanic",2025-06-05 16:53:31
"calculat nivel de experienta mecanic",2025-06-05 16:53:31
"calculat nivel de experienta mecanic",2025-06-05 16:53:31
"calculat nivel de experienta mecanic",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"format tren",2025-06-05 16:53:31
"format tren",2025-06-05 16:53:31
"asignat tren la o ruta valida",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"locomotiva adaugata la orar",2025-06-05 16:53:31
"ruta cautata in baza de date",2025-06-05 16:53:31
"calculat pretul unui bilet",2025-06-05 16:53:31
"calculat pret bilet",2025-06-05 16:53:31
"format tren",2025-06-05 16:53:50
